iteration	time	f_value	arclength
4.000000000000000000e+01	3.854576130585703458e-04	2.138875606337081736e-02	2.244719988830434604e-08
4.100000000000000000e+01	3.990264362361956832e-04	2.138875382900482652e-02	2.417143063763191374e-08
4.300000000000000000e+01	4.276138399350171821e-04	2.138874886857617535e-02	2.799932839152214012e-08
4.400000000000000000e+01	4.426666405175341736e-04	2.138874611875536333e-02	3.012132931738668427e-08
4.500000000000000000e+01	4.582493276102993858e-04	2.138874317192989566e-02	3.239535636963874030e-08
4.600000000000000000e+01	4.743805542016523921e-04	2.138874001398586439e-02	3.483230111807836864e-08
4.700000000000000000e+01	4.910796298997315013e-04	2.138873662979819124e-02	3.744383543298712055e-08
4.900000000000000000e+01	5.262619896466975804e-04	2.138872911669607857e-02	4.324160116591139358e-08
5.000000000000000000e+01	5.447873881359378053e-04	2.138872495179745120e-02	4.645560126139862692e-08
5.100000000000000000e+01	5.639649150249802885e-04	2.138872048851449270e-02	4.989986127635708759e-08
5.200000000000000000e+01	5.838175264434905098e-04	2.138871570547020914e-02	5.359087764912049339e-08
5.300000000000000000e+01	6.043689866194934448e-04	2.138871057975618578e-02	5.754632866360238064e-08
5.500000000000000000e+01	6.476677223286034972e-04	2.138869920036147107e-02	6.632767106599618274e-08
5.600000000000000000e+01	6.704668278707142434e-04	2.138869289217913694e-02	7.119562104170947663e-08
5.700000000000000000e+01	6.940685042305439791e-04	2.138868613206273972e-02	7.641232427290692862e-08
5.800000000000000000e+01	7.185010033900095976e-04	2.138867888763475861e-02	8.200276634268971254e-08
5.900000000000000000e+01	7.437935718532093969e-04	2.138867112419811159e-02	8.799372285773476953e-08
6.100000000000000000e+01	7.970810866046632677e-04	2.138865388890365607e-02	1.012940103961455339e-07
6.200000000000000000e+01	8.251398197985630343e-04	2.138864433449789992e-02	1.086670435058283032e-07
6.300000000000000000e+01	8.541862724625115880e-04	2.138863409559224604e-02	1.165683003291339134e-07
6.400000000000000000e+01	8.842552141545195537e-04	2.138862312314791791e-02	1.250356240939734562e-07
6.500000000000000000e+01	9.153826383855529283e-04	2.138861136461300827e-02	1.341095691903793629e-07
6.700000000000000000e+01	9.809632883025188547e-04	2.138858525996980425e-02	1.542542760439924508e-07
6.800000000000000000e+01	1.015495016180718163e-03	2.138857078883531909e-02	1.654215210321403410e-07
6.900000000000000000e+01	1.051242324952181457e-03	2.138855528095912756e-02	1.773888159045537553e-07
7.000000000000000000e+01	1.088248005319802534e-03	2.138853866206785054e-02	1.902134779873873858e-07
7.100000000000000000e+01	1.126556354298615314e-03	2.138852085256721935e-02	2.039569309031403985e-07
7.300000000000000000e+01	1.207266097727103778e-03	2.138848131444207740e-02	2.344682213271704065e-07
7.400000000000000000e+01	1.249764104390969389e-03	2.138845939645563771e-02	2.513821920127672505e-07
7.500000000000000000e+01	1.293758119742398609e-03	2.138843590822915239e-02	2.695079197501137476e-07
7.600000000000000000e+01	1.339300806062967324e-03	2.138841073727021369e-02	2.889322170376905069e-07
7.700000000000000000e+01	1.386446679444272492e-03	2.138838376302774555e-02	3.097481156832643900e-07
7.900000000000000000e+01	1.485775714648104092e-03	2.138832387868962182e-02	3.559606459894125447e-07
8.000000000000000000e+01	1.538077776588715534e-03	2.138829068179346621e-02	3.815786095481351268e-07
8.100000000000000000e+01	1.592220968153584739e-03	2.138825510663948035e-02	4.090318982296790784e-07
8.200000000000000000e+01	1.648270100521611508e-03	2.138821698285184661e-02	4.384519971045875023e-07
8.300000000000000000e+01	1.706292266345446444e-03	2.138817612784994771e-02	4.699798107808699624e-07
8.500000000000000000e+01	1.828535961039703386e-03	2.138808542754894182e-02	5.399733956627782581e-07
8.600000000000000000e+01	1.892903819628364778e-03	2.138803514787939591e-02	5.787743919093905936e-07
8.700000000000000000e+01	1.959537546270796304e-03	2.138798126617506151e-02	6.203551583578161407e-07
8.800000000000000000e+01	2.028516903726697816e-03	2.138792352439738281e-02	6.649148390801467010e-07
8.900000000000000000e+01	2.099924462552913047e-03	2.138786164602442252e-02	7.126668444129360542e-07
9.100000000000000000e+01	2.250369102046664415e-03	2.138772427295056178e-02	8.186790063460514627e-07
9.200000000000000000e+01	2.329586269889767462e-03	2.138764812039450902e-02	8.774468835062167285e-07
9.300000000000000000e+01	2.411592029024570670e-03	2.138756651238393758e-02	9.404249575524845801e-07
9.400000000000000000e+01	2.496484543038644203e-03	2.138747905812395794e-02	1.007914843808655865e-06
9.500000000000000000e+01	2.584365431059963691e-03	2.138738533882933446e-02	1.080239763916742889e-06
9.700000000000000000e+01	2.769516817469006194e-03	2.138717727787502534e-02	1.240805020282026653e-06
9.800000000000000000e+01	2.867008948148458067e-03	2.138706193992799195e-02	1.329814321883991455e-06
9.900000000000000000e+01	2.967932982719766188e-03	2.138693833960438745e-02	1.425200269650152579e-06
1.000000000000000000e+02	3.072409730567645346e-03	2.138680588507744368e-02	1.527419669758219285e-06
1.010000000000000000e+02	3.180564253791326804e-03	2.138666394213713240e-02	1.636962050083270896e-06
1.030000000000000000e+02	3.408429041825954738e-03	2.138634882383906588e-02	1.880151700169432990e-06
1.040000000000000000e+02	3.528412068273516916e-03	2.138617413973871451e-02	2.014963576599433981e-06
1.050000000000000000e+02	3.652618719874730843e-03	2.138598694252386717e-02	2.159433221362747093e-06
1.060000000000000000e+02	3.781197676071747660e-03	2.138578633597984502e-02	2.314252464228680213e-06
1.070000000000000000e+02	3.914302850098935402e-03	2.138557135972321555e-02	2.480162687685104654e-06
1.090000000000000000e+02	4.194734785463210408e-03	2.138509410781825465e-02	2.848490913810317763e-06
1.100000000000000000e+02	4.342397233039089338e-03	2.138482954757244675e-02	3.052672667867793372e-06
1.110000000000000000e+02	4.495257672750170574e-03	2.138454603750057637e-02	3.271481345599282505e-06
1.120000000000000000e+02	4.653499083564237304e-03	2.138424222058088464e-02	3.505964677109568007e-06
1.130000000000000000e+02	4.817310885648241371e-03	2.138391664265950481e-02	3.757245427472747656e-06
1.150000000000000000e+02	5.162436918724501271e-03	2.138319385936583716e-02	4.315098034037021959e-06
1.160000000000000000e+02	5.344164276915691972e-03	2.138279319500072106e-02	4.624340888702303829e-06
1.170000000000000000e+02	5.532288775301548445e-03	2.138236383513535122e-02	4.955735935335281325e-06
1.180000000000000000e+02	5.727035605086487104e-03	2.138190372531394157e-02	5.310869796756663389e-06
1.190000000000000000e+02	5.928637884623187693e-03	2.138141066409730839e-02	5.691442703087145132e-06
1.210000000000000000e+02	6.353382586228696095e-03	2.138031608305585723e-02	6.536323967407692851e-06
1.220000000000000000e+02	6.577033441658134902e-03	2.137970932714262570e-02	7.004676937188396770e-06
1.230000000000000000e+02	6.808557222172045321e-03	2.137905912270295777e-02	7.506577509007607936e-06
1.240000000000000000e+02	7.048231069341224890e-03	2.137836236010730306e-02	8.044428157043049578e-06
1.250000000000000000e+02	7.296341880633994137e-03	2.137761570741036551e-02	8.620803331296351439e-06
1.270000000000000000e+02	7.819072837594538694e-03	2.137595819607859826e-02	9.900359612112132480e-06
1.280000000000000000e+02	8.094318709389454816e-03	2.137503941354361101e-02	1.060966464497982686e-05
1.290000000000000000e+02	8.379253746576959677e-03	2.137405485543971209e-02	1.136977129958605462e-05
1.300000000000000000e+02	8.674219025756647189e-03	2.137299981663518672e-02	1.218431691933870183e-05
1.310000000000000000e+02	8.979567630057274513e-03	2.137186925598002357e-02	1.305719910632485751e-05
1.330000000000000000e+02	9.622889729972898890e-03	2.136935957924997881e-02	1.499497778810715888e-05
1.340000000000000000e+02	9.961633303274559231e-03	2.136796847698712795e-02	1.606914486845008932e-05
1.350000000000000000e+02	1.031230127887876151e-02	2.136647782374171550e-02	1.722023388730374146e-05
1.360000000000000000e+02	1.067531341787170476e-02	2.136488050394844823e-02	1.845375063651031057e-05
1.370000000000000000e+02	1.105110425770866080e-02	2.136316889471739228e-02	1.977559459938946280e-05
1.390000000000000000e+02	1.184283721082528794e-02	2.135936956134152492e-02	2.271000110802481937e-05
1.400000000000000000e+02	1.225972705445816692e-02	2.135726371816059482e-02	2.433659403084546742e-05
1.410000000000000000e+02	1.269129219410585971e-02	2.135500726218268752e-02	2.607964165794078590e-05
1.420000000000000000e+02	1.313804922741741363e-02	2.135258944102074938e-02	2.794747540324881964e-05
1.430000000000000000e+02	1.360053293723760721e-02	2.134999873758117173e-02	2.994902182601858314e-05
1.450000000000000000e+02	1.457491430721227776e-02	2.134424846450555524e-02	3.439219194343784750e-05
1.460000000000000000e+02	1.508797833387491918e-02	2.134106153261816283e-02	3.685504109885169008e-05
1.470000000000000000e+02	1.561910316624159217e-02	2.133764686632104446e-02	3.949415445272078687e-05
1.480000000000000000e+02	1.616892457818401921e-02	2.133398823702233049e-02	4.232213316647648853e-05
1.490000000000000000e+02	1.673810072399386367e-02	2.133006826634982825e-02	4.535247719316686004e-05
1.510000000000000000e+02	1.793726649120912231e-02	2.132136855020894811e-02	5.207914223962119830e-05
1.520000000000000000e+02	1.856869155343036926e-02	2.131654754712591221e-02	5.580755404866832945e-05
1.530000000000000000e+02	1.922234394942047911e-02	2.131138249766609954e-02	5.980266401805192964e-05
1.540000000000000000e+02	1.989900612256985390e-02	2.130584895250575012e-02	6.408351746855093568e-05
1.550000000000000000e+02	2.059948805972803068e-02	2.129992074017784259e-02	6.867051503357975411e-05
1.570000000000000000e+02	2.207529474238080491e-02	2.128676629541225232e-02	7.885190271872360545e-05
1.580000000000000000e+02	2.285238607695463595e-02	2.127947799822230840e-02	8.449476609304935751e-05
1.590000000000000000e+02	2.365683246836086315e-02	2.127167062498771383e-02	9.054094668543472588e-05
1.600000000000000000e+02	2.448959686535595245e-02	2.126330744330506839e-02	9.701919788104931559e-05
1.610000000000000000e+02	2.535167611427936382e-02	2.125434915651000164e-02	1.039603120818930843e-04
1.630000000000000000e+02	2.716794324273520689e-02	2.123447620595586907e-02	1.193653618413537885e-04
1.640000000000000000e+02	2.812430525368457210e-02	2.122346850802497506e-02	1.279024136415821101e-04
1.650000000000000000e+02	2.911433298190279489e-02	2.121167923181929357e-02	1.370488983757052546e-04
1.660000000000000000e+02	3.013921152310290730e-02	2.119905342419964311e-02	1.468481535934404707e-04
1.670000000000000000e+02	3.120016769056584496e-02	2.118553234861538653e-02	1.573465736947843264e-04
1.690000000000000000e+02	3.343543760815392146e-02	2.115554902489826319e-02	1.806430559691273073e-04
1.700000000000000000e+02	3.461242704979874268e-02	2.113894807719246538e-02	1.935511698757364743e-04
1.710000000000000000e+02	3.583084870363649477e-02	2.112117389068043222e-02	2.073790500886174386e-04
1.720000000000000000e+02	3.709216106041180600e-02	2.110214478622597645e-02	2.221918496409853896e-04
1.730000000000000000e+02	3.839787395244970147e-02	2.108177358211260621e-02	2.380592796142783920e-04
1.750000000000000000e+02	4.114880828704948340e-02	2.103662655893114020e-02	2.732615473791859349e-04
1.760000000000000000e+02	4.259732268837780611e-02	2.101164568889007933e-02	2.927614911093734894e-04
1.770000000000000000e+02	4.409682748428132154e-02	2.098491184441760721e-02	3.136470014232738937e-04
1.780000000000000000e+02	4.564911763125928390e-02	2.095630483786709020e-02	3.360156482537322701e-04
1.790000000000000000e+02	4.725605127161014440e-02	2.092569666095392758e-02	3.599717413016061455e-04
1.810000000000000000e+02	5.064161095446306077e-02	2.085792296997777268e-02	4.130999061739271247e-04
1.820000000000000000e+02	5.242428962312069979e-02	2.082045824838892403e-02	4.425184439987378212e-04
