iteration	time	x1	x2	radius	f_value	arclength
2.800000000000000000e+01	2.544931673598733600e-04	3.999998957379223563e-02	1.999999883481863930e-02	4.472134970342726834e-02	2.138877365589748197e-02	8.871283424882467822e-09
2.900000000000000000e+01	2.634517990507076490e-04	3.999998882682878620e-02	1.999999875134168825e-02	4.472134899799084379e-02	2.138877268190922387e-02	9.622896884891013176e-09
3.100000000000000000e+01	2.823262450791042075e-04	3.999998716852416064e-02	1.999999856601772721e-02	4.472134743187875655e-02	2.138877051959570119e-02	1.129152482074470065e-08
3.200000000000000000e+01	2.922646527485853055e-04	3.999998624924044205e-02	1.999999846328310432e-02	4.472134656370211486e-02	2.138876932091394317e-02	1.221653128955487339e-08
3.400000000000000000e+01	3.132033346410155439e-04	3.999998420837425767e-02	1.999999823520593259e-02	4.472134463629677537e-02	2.138876665976714719e-02	1.427010231419246311e-08
3.500000000000000000e+01	3.242286731540226763e-04	3.999998307701695122e-02	1.999999810877099368e-02	4.472134356783666331e-02	2.138876518455642278e-02	1.540850256863897518e-08
3.700000000000000000e+01	3.474573495735993060e-04	3.999998056533446422e-02	1.999999782807767093e-02	4.472134119578980577e-02	2.138876190949853470e-02	1.793582084616214590e-08
3.800000000000000000e+01	3.596884929689021250e-04	3.999997917297943434e-02	1.999999767247488680e-02	4.472133988084200235e-02	2.138876009396532829e-02	1.933684360469797839e-08
4.000000000000000000e+01	3.854576130585703458e-04	3.999997608186602743e-02	1.999999732702715735e-02	4.472133696157738758e-02	2.138875606337081736e-02	2.244719988830434604e-08
4.100000000000000000e+01	3.990264362361956832e-04	3.999997436830259739e-02	1.999999713552766747e-02	4.472133534327860094e-02	2.138875382900482652e-02	2.417143063763191374e-08
4.300000000000000000e+01	4.276138399350171821e-04	3.999997056408695351e-02	1.999999671038703991e-02	4.472133175055630766e-02	2.138874886857617535e-02	2.799932839152214012e-08
4.400000000000000000e+01	4.426666405175341736e-04	3.999996845521424510e-02	1.999999647470966993e-02	4.472132975892526008e-02	2.138874611875536333e-02	3.012132931738668427e-08
4.600000000000000000e+01	4.743805542016523921e-04	3.999996377338789488e-02	1.999999595149143730e-02	4.472132533738259336e-02	2.138874001398586439e-02	3.483230111807836864e-08
4.700000000000000000e+01	4.910796298997315013e-04	3.999996117801040557e-02	1.999999566144458618e-02	4.472132288629376146e-02	2.138873662979819124e-02	3.744383543298712055e-08
4.900000000000000000e+01	5.262619896466975804e-04	3.999995541611382766e-02	1.999999501752276407e-02	4.472131744472684217e-02	2.138872911669607857e-02	4.324160116591139358e-08
5.000000000000000000e+01	5.447873881359378053e-04	3.999995222199784900e-02	1.999999466056368719e-02	4.472131442818610275e-02	2.138872495179745120e-02	4.645560126139862692e-08
5.200000000000000000e+01	5.838175264434905098e-04	3.999994513086543857e-02	1.999999386809261578e-02	4.472130773128160652e-02	2.138871570547020914e-02	5.359087764912049339e-08
5.300000000000000000e+01	6.043689866194934448e-04	3.999994119988571628e-02	1.999999342878502548e-02	4.472130401884272938e-02	2.138871057975618578e-02	5.754632866360238064e-08
5.500000000000000000e+01	6.476677223286034972e-04	3.999993247287109144e-02	1.999999245349519048e-02	4.472129577700216518e-02	2.138869920036147107e-02	6.632767106599618274e-08
5.600000000000000000e+01	6.704668278707142434e-04	3.999992763503780469e-02	1.999999191284172750e-02	4.472129120812586012e-02	2.138869289217913694e-02	7.119562104170947663e-08
5.800000000000000000e+01	7.185010033900095976e-04	3.999991689475343448e-02	1.999999071255781358e-02	4.472128106494244887e-02	2.138867888763475861e-02	8.200276634268971254e-08
5.900000000000000000e+01	7.437935718532093969e-04	3.999991094086139537e-02	1.999999004717852025e-02	4.472127544205423133e-02	2.138867112419811159e-02	8.799372285773476953e-08
6.100000000000000000e+01	7.970810866046632677e-04	3.999989772285929279e-02	1.999998856999559566e-02	4.472126295890085923e-02	2.138865388890365607e-02	1.012940103961455339e-07
6.200000000000000000e+01	8.251398197985630343e-04	3.999989039544125241e-02	1.999998775111688082e-02	4.472125603884732903e-02	2.138864433449789992e-02	1.086670435058283032e-07
6.400000000000000000e+01	8.842552141545195537e-04	3.999987412812896354e-02	1.999998593315577972e-02	4.472124067590913660e-02	2.138862312314791791e-02	1.250356240939734562e-07
6.500000000000000000e+01	9.153826383855529283e-04	3.999986511032213587e-02	1.999998492536613284e-02	4.472123215944344421e-02	2.138861136461300827e-02	1.341095691903793629e-07
6.700000000000000000e+01	9.809632883025188547e-04	3.999984509024575446e-02	1.999998268801109549e-02	4.472121325237499861e-02	2.138858525996980425e-02	1.542542760439924508e-07
6.800000000000000000e+01	1.015495016180718163e-03	3.999983399208990181e-02	1.999998144772972483e-02	4.472120277121674481e-02	2.138857078883531909e-02	1.654215210321403410e-07
7.000000000000000000e+01	1.088248005319802534e-03	3.999980935351515887e-02	1.999997869422871430e-02	4.472117950241430440e-02	2.138853866206785054e-02	1.902134779873873858e-07
7.100000000000000000e+01	1.126556354298615314e-03	3.999979569508997634e-02	1.999997716782095716e-02	4.472116660332441096e-02	2.138852085256721935e-02	2.039569309031403985e-07
7.300000000000000000e+01	1.207266097727103778e-03	3.999976537256647730e-02	1.999997377910166241e-02	4.472113796657149060e-02	2.138848131444207740e-02	2.344682213271704065e-07
7.400000000000000000e+01	1.249764104390969389e-03	3.999974856323912364e-02	1.999997190055957663e-02	4.472112209175349573e-02	2.138845939645563771e-02	2.513821920127672505e-07
7.600000000000000000e+01	1.339300806062967324e-03	3.999971124552893081e-02	1.999996773008024323e-02	4.472108684871092116e-02	2.138841073727021369e-02	2.889322170376905069e-07
7.700000000000000000e+01	1.386446679444272492e-03	3.999969055841451349e-02	1.999996541816811968e-02	4.472106731169143284e-02	2.138838376302774555e-02	3.097481156832643900e-07
7.900000000000000000e+01	1.485775714648104092e-03	3.999964463179343788e-02	1.999996028558039332e-02	4.472102393835090256e-02	2.138832387868962182e-02	3.559606459894125447e-07
8.000000000000000000e+01	1.538077776588715534e-03	3.999961917232431469e-02	1.999995744032177780e-02	4.472099989429638434e-02	2.138829068179346621e-02	3.815786095481351268e-07
8.200000000000000000e+01	1.648270100521611508e-03	3.999956265080464174e-02	1.999995112367160266e-02	4.472094651508282115e-02	2.138821698285184661e-02	4.384519971045875023e-07
8.300000000000000000e+01	1.706292266345446444e-03	3.999953131804979273e-02	1.999994762202582030e-02	4.472091692426959780e-02	2.138817612784994771e-02	4.699798107808699624e-07
8.500000000000000000e+01	1.828535961039703386e-03	3.999946175750825755e-02	1.999993984815508219e-02	4.472085123094357573e-02	2.138808542754894182e-02	5.399733956627782581e-07
8.600000000000000000e+01	1.892903819628364778e-03	3.999942319657073808e-02	1.999993553869634788e-02	4.472081481380197482e-02	2.138803514787939591e-02	5.787743919093905936e-07
8.800000000000000000e+01	2.028516903726697816e-03	3.999933758906986520e-02	1.999992597143012557e-02	4.472073396565694192e-02	2.138792352439738281e-02	6.649148390801467010e-07
8.900000000000000000e+01	2.099924462552913047e-03	3.999929013250486109e-02	1.999992066779910510e-02	4.472068914744671553e-02	2.138786164602442252e-02	7.126668444129360542e-07
9.100000000000000000e+01	2.250369102046664415e-03	3.999918477624039848e-02	1.999990889340763633e-02	4.472058964848772689e-02	2.138772427295056178e-02	8.186790063460514627e-07
9.200000000000000000e+01	2.329586269889767462e-03	3.999912637196210985e-02	1.999990236625223336e-02	4.472053449121350666e-02	2.138764812039450902e-02	8.774468835062167285e-07
